gifshow.com,2020/03/20,5
yy.com,2020/01/01,5
huya.com,2020/01/20,8
gifshow.com,2020/01/01,5
huya.com,2020/01/20,5
gifshow.com,2020/03/02,8
gifshow.com,2020/01/01,6
gifshow.com,2020/03/20,8
gifshow.com,2020/01/20,8
yy.com,2020/01/01,7
gifshow.com,2020/01/20,6
yy.com,2020/01/01,8
huya.com,2020/03/20,7
yy.com,2020/01/01,8
yy.com,2020/01/01,5
gifshow.com,2020/03/20,8
yy.com,2020/01/01,4
yy.com,2020/01/01,5
huya.com,2020/01/01,4
gifshow.com,2020/03/20,6
huya.com,2020/03/20,8
gifshow.com,2020/01/20,6
yy.com,2020/03/02,5
gifshow.com,2020/03/20,7
huya.com,2020/01/20,6
huya.com,2020/03/02,5
yy.com,2020/01/01,4
gifshow.com,2020/01/20,4
huya.com,2020/01/20,8
yy.com,2020/03/02,7
gifshow.com,2020/01/01,6
